name,bus0,bus1,carrier,p_nom,marginal_cost,p_min_pu
BritNed,Netherlands,Kemsley,DC,1340,20,-1
EastWest,Ireland,Deeside,DC,804,7,-1
Moyle,N. Ireland,Neilston,DC,804,7,-1
Nemo,Belgium,Sellindge,DC,1340,20,-1
IFA,France1,Sellindge,DC,2680,15,-1
IFA2,France2,Lovedean,DC,1340,15,-1
NSL,Norway,Stella West,DC,1876,1,-1
ElecLink,France1,Sellindge,DC,1340,15,-1
Viking Link,Denmark,Walpole,DC,1876,7,-1
Greenlink,Ireland2,Melksham,DC,670,7,-1
GridLink,France1,Kemsley,DC,1876,15,-1
NeuConnect,Germany,Kemsley,DC,1876,20,-1
NorthConnect,Norway,Peterhead,DC,1876,1,-1
FAB Link,France2,S.W.Penisula,DC,1876,15,-1
