,carrier,type,p_nom,bus,Turbine Capacity (MW),marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
West Burton,Coal,Conventional steam,0.0,Z10,,,1.0,1.0,1.0
Sizewell B,Nuclear,PWR,1198.0,Z12,,5.0,0.015,0.015,0.73
Hywind Scotland Pilot Park (Hywind 2) Demonstrator,Wind Offshore,Wind Offshore,30.0,Z2,,0.0,1.0,1.0,1.0
Beatrice Demonstrator,Wind Offshore,Wind Offshore,10.0,Z1_3,,0.0,1.0,1.0,1.0
Burbo Bank,Wind Offshore,Wind Offshore,90.0,Z9,,0.0,1.0,1.0,1.0
Gunfleet Sands - (Demo) Extension,Wind Offshore,Wind Offshore,12.0,Z15,,0.0,1.0,1.0,1.0
Gunfleet Sands II,Wind Offshore,Wind Offshore,64.80000305175781,Z15,,0.0,1.0,1.0,1.0
Gunfleet Sands Offshore Wind Scheme,Wind Offshore,Wind Offshore,108.0,Z15,,0.0,1.0,1.0,1.0
Inner Dowsing,Wind Offshore,Wind Offshore,97.1999969482422,Z10,,0.0,1.0,1.0,1.0
Kentish Flats,Wind Offshore,Wind Offshore,90.0,Z15,,0.0,1.0,1.0,1.0
Lynn,Wind Offshore,Wind Offshore,97.1999969482422,Z10,,0.0,1.0,1.0,1.0
North Hoyle,Wind Offshore,Wind Offshore,60.0,Z9,,0.0,1.0,1.0,1.0
Rhyl Flats,Wind Offshore,Wind Offshore,90.0,Z9,,0.0,1.0,1.0,1.0
Robin Rigg East,Wind Offshore,Wind Offshore,90.0,Z6,,0.0,1.0,1.0,1.0
Robin Rigg West,Wind Offshore,Wind Offshore,84.0,Z6,,0.0,1.0,1.0,1.0
Scroby Sands,Wind Offshore,Wind Offshore,60.0,Z12,,0.0,1.0,1.0,1.0
Thanet,Wind Offshore,Wind Offshore,300.0,Z15,,0.0,1.0,1.0,1.0
Walney 1,Wind Offshore,Wind Offshore,183.6000061035156,Z9,,0.0,1.0,1.0,1.0
Kentish Flats 2,Wind Offshore,Wind Offshore,49.5,Z15,,0.0,1.0,1.0,1.0
European Offshore Wind Deployment Centre (EOWDC) (Aberdeen Bay - Demonstration site),Wind Offshore,Wind Offshore,93.1999969482422,Z2,,0.0,1.0,1.0,1.0
Walney 2,Wind Offshore,Wind Offshore,183.6000061035156,Z9,,0.0,1.0,1.0,1.0
Ormonde Offshore,Wind Offshore,Wind Offshore,150.0,Z9,,0.0,1.0,1.0,1.0
Greater Gabbard Wind Farm,Wind Offshore,Wind Offshore,504.0,Z15,,0.0,1.0,1.0,1.0
London Array Phase 1,Wind Offshore,Wind Offshore,630.0,Z15,,0.0,1.0,1.0,1.0
Sheringham Shoal,Wind Offshore,Wind Offshore,317.0,Z10,,0.0,1.0,1.0,1.0
Centrica (Lincs),Wind Offshore,Wind Offshore,270.0,Z10,,0.0,1.0,1.0,1.0
Teeside Offshore Wind Farm,Wind Offshore,Wind Offshore,62.09999847412109,Z7,,0.0,1.0,1.0,1.0
Race Bank (Phase 1),Wind Offshore,Wind Offshore,286.5,Z10,,0.0,1.0,1.0,1.0
West of Duddon Sands,Wind Offshore,Wind Offshore,389.0,Z9,,0.0,1.0,1.0,1.0
Rampion Offshore Wind Farm (Hastings Zone),Wind Offshore,Wind Offshore,400.0,Z16,,0.0,1.0,1.0,1.0
Beatrice,Wind Offshore,Wind Offshore,588.0,Z1_3,,0.0,1.0,1.0,1.0
Blyth Offshore Wind Test Site,Wind Offshore,Wind Offshore,41.5,Z7,,0.0,1.0,1.0,1.0
East Anglia 1 (EA 1),Wind Offshore,Wind Offshore,714.0,Z12,,0.0,1.0,1.0,1.0
Hornsea 1 - Heron & Njord,Wind Offshore,Wind Offshore,1200.0,Z10,,0.0,1.0,1.0,1.0
Galloper Wind Farm,Wind Offshore,Wind Offshore,353.0,Z15,,0.0,1.0,1.0,1.0
Levenmouth demonstration turbine (Fife Energy Park),Wind Offshore,Wind Offshore,7.0,Z5,,0.0,1.0,1.0,1.0
Walney 3,Wind Offshore,Wind Offshore,660.0,Z9,,0.0,1.0,1.0,1.0
Dudgeon East,Wind Offshore,Wind Offshore,402.0,Z10,,0.0,1.0,1.0,1.0
Burbo Bank Extension (Burbo Bank 2),Wind Offshore,Wind Offshore,258.0,Z9,,0.0,1.0,1.0,1.0
Gwynt y Mor,Wind Offshore,Wind Offshore,576.0,Z9,,0.0,1.0,1.0,1.0
Humber Gateway A,Wind Offshore,Wind Offshore,219.0,Z10,,0.0,1.0,1.0,1.0
