gsp_id,target_bus,region,population_weight
ABER_1,Z1_1,North Scotland,0.4
BEAU_1,Z1_1,North Scotland,0.6
PETH_1,Z1_2,West Scotland,0.5
ERRO_1,Z1_2,West Scotland,0.5
DENN_1,Z1_3,Central Scotland,0.8
NEIL_1,Z1_3,Central Scotland,1.0
STRA_1,Z1_3,Central Scotland,0.8
TORN_1,Z1_4,South Scotland,0.6
ECCL_1,Z2,North England,0.5
HARK_1,Z2,North England,0.6
STWE_1,Z2,North England,0.5
PENW_1,Z3,Northwest England,1.5
DEES_1,Z4,Northeast England,1.2
DAIN_1,Z5,Yorkshire,1.2
THMA_1,Z5,Yorkshire,1.4
THOR_1,Z5,Yorkshire,1.6
KEAD_1,Z6,East Midlands,2.0
RATC_1,Z6,East Midlands,2.0
FECK_1,Z7,West Midlands,2.8
WALP_1,Z8,East England,2.0
BRAM_1,Z9,East England,2.4
PELH_1,Z10,East England,2.0
SUND_1,Z11,Central England,2.5
MELK_1,Z12,Southwest England,1.8
BRAL_1,Z13,South Central,2.8
LOND_1,Z14,London,7.5
KEMS_1,Z15,Southeast England,2.5
SELL_1,Z15,Southeast England,2.5
LOVE_1,Z16,South England,2.0
SWPE_1,Z17,Southwest Peninsula,1.5
BRED_1,Z3,Northwest England,1.0
HEYS_1,Z3,Northwest England,1.2
HUTT_1,Z3,Northwest England,0.8
KEAR_1,Z3,Northwest England,1.5
KIBY_G,Z3,Northwest England,1.0
MACC_3,Z7,West Midlands,2.2
ORMO,Z3,Northwest England,0.6
